기온분석
[검색조건]
자료구분 : 일
지역/지점 : 홍성
기간 : 20010401~20180527

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2017-08-29,177,19.8,17.2,22.7
2017-08-30,177,17.8,14.8,21.1
2017-08-31,177,20.2,14.4,26.6
2017-09-01,177,20.9,15.9,26.9
2017-09-02,177,21,14.9,27
2017-09-03,177,21.8,15.7,28.1
2017-09-04,177,21.3,16,27.9
2017-09-05,177,20.2,17,23.1
2017-09-06,177,20,18.3,22.9
2017-09-07,177,21.4,17.2,26.1
2017-09-08,177,21.9,15.9,28.9
2017-09-09,177,21.2,16.9,27.8
2017-09-10,177,20.9,15.7,25.2
2017-09-11,177,20,17.9,23.1
2017-09-12,177,21.1,15.4,26.7
2017-09-13,177,19.2,13.7,27.1
2017-09-14,177,19.2,11.6,26.5
2017-09-15,177,20.3,13.9,26.8
2017-09-16,177,19.4,14.6,25
2017-09-17,177,21.3,15.9,26.7
2017-09-18,177,20.7,14.3,26.3
2017-09-19,177,22.4,16.6,26.4
2017-09-20,177,19.2,12.8,24.2
2017-09-21,177,17.5,10.3,24.6
2017-09-22,177,18.7,11.8,25.8
2017-09-23,177,19.8,14.2,24.9
2017-09-24,177,22,18.7,27.1
2017-09-25,177,21.4,17.8,27.5
2017-09-26,177,22.1,14.1,30
2017-09-27,177,19.9,16.3,23.9
2017-09-28,177,19.7,15.5,23.8
2017-09-29,177,14.6,8.5,21.1
2017-09-30,177,17.4,8.4,25.8
2017-10-01,177,15.1,12.1,17.6
2017-10-02,177,19.3,15.2,24.7
2017-10-03,177,16.8,11.5,21.3
2017-10-04,177,15.1,8.7,20.9
2017-10-05,177,16.7,10.7,21.7
2017-10-06,177,17.3,11.6,21.7
2017-10-07,177,19.2,16.3,24.2
2017-10-08,177,19.8,15,25.8
2017-10-09,177,20.3,15.8,25.8
2017-10-10,177,21.3,16.1,25.5
2017-10-11,177,,12.8,21.2
2017-10-12,177,11.4,5.3,13.6
2017-10-13,177,10.8,2.9,17.2
2017-10-14,177,12.5,5.1,19.1
2017-10-15,177,13.8,7.4,21.1
2017-10-16,177,15,9.5,20.1
2017-10-17,177,13.4,5,21.4
2017-10-18,177,15.4,10.1,18.8
2017-10-19,177,14.9,10.1,21.3
2017-10-20,177,13.5,7,22
2017-10-21,177,13.2,6.3,22.1
2017-10-22,177,14.3,5.8,22.9
2017-10-23,177,11.7,6.6,17.7
2017-10-24,177,10.9,4.8,18.9
2017-10-25,177,11.4,4.8,19.4
2017-10-26,177,12.7,5.8,19.7
2017-10-27,177,14.5,8.7,21.3
2017-10-28,177,13.5,6.2,22.2
2017-10-29,177,10.6,7,17.1
2017-10-30,177,6.7,0.1,12.6
2017-10-31,177,8.2,-0.7,16.9
2017-11-01,177,13.1,7.5,17.6
2017-11-02,177,13.9,11.1,17.6
2017-11-03,177,11.1,7.8,16
2017-11-04,177,6.8,2,13
2017-11-05,177,6.8,-0.8,14.8
2017-11-06,177,8.2,0.5,16.2
2017-11-07,177,13.5,4.3,20.6
2017-11-08,177,12.7,4.7,17.4
2017-11-09,177,7,0.3,15.2
2017-11-10,177,10,1.6,17.1
2017-11-11,177,6.1,0.4,10.2
2017-11-12,177,3.9,-2.6,12.3
2017-11-13,177,8.2,-0.9,14.1
2017-11-14,177,9.1,3,13.9
2017-11-15,177,6.6,4.4,9.6
2017-11-16,177,1.5,-3.5,6.8
2017-11-17,177,3.9,-4.5,11.3
2017-11-18,177,0.8,-1.8,4.9
2017-11-19,177,-0.3,-6.4,3.5
2017-11-20,177,2.4,-4,8.7
2017-11-21,177,0.8,-5.7,7.9
2017-11-22,177,6.2,-1.4,13
2017-11-23,177,1.9,-3.7,6.7
2017-11-24,177,0.8,-1.7,4.8
2017-11-25,177,6.3,-3.5,11.8
2017-11-26,177,5,-1.7,10.4
2017-11-27,177,1,-4.6,7.9
2017-11-28,177,5.3,-1.6,12.2
2017-11-29,177,5,1.1,10.3
2017-11-30,177,-0.1,-2.6,2.4
2017-12-01,177,-0.8,-7.1,4.3
2017-12-02,177,1.3,-5.9,7.4
2017-12-03,177,5.6,-0.1,10.8
2017-12-04,177,1.4,-1.8,5.5
2017-12-05,177,-2.6,-6.6,0.8
2017-12-06,177,0.8,-5.9,5.4
2017-12-07,177,2.9,-0.1,6.3
2017-12-08,177,-1.4,-2.9,1.8
2017-12-09,177,0.5,-2.2,5.2
2017-12-10,177,3.8,-2,9.5
2017-12-11,177,-3.6,-6.5,0.9
2017-12-12,177,-7,-10,-2.7
2017-12-13,177,-6.3,-10.4,-0.6
2017-12-14,177,-6.1,-11.6,-1.3
2017-12-15,177,-2.1,-9.1,3.1
2017-12-16,177,-2.4,-4.8,1.5
2017-12-17,177,-4.6,-9.4,-1
2017-12-18,177,2.6,-5.7,7
2017-12-19,177,-2,-5.2,3.7
2017-12-20,177,-1.9,-8.2,4.5
2017-12-21,177,-2.5,-8,3.9
2017-12-22,177,1.4,-5.2,8.2
2017-12-23,177,4.2,-0.9,10.4
2017-12-24,177,4,1.9,5.9
2017-12-25,177,0,-1.7,2.9
2017-12-26,177,-1.2,-4.7,2.2
2017-12-27,177,-5,-9.5,-0.4
2017-12-28,177,-1.3,-7,1.7
2017-12-29,177,2.9,-1.3,8.2
2017-12-30,177,2.1,-1.4,6.4
2017-12-31,177,1,-3.5,4.9
2018-01-01,177,-1.3,-6.4,4.7
2018-01-02,177,-1.2,-4.6,2.3
2018-01-03,177,-2.5,-6.7,1
2018-01-04,177,-3.5,-6.5,-1.2
2018-01-05,177,-1,-5.5,2.9
2018-01-06,177,-2.2,-7.4,4.5
2018-01-07,177,-2.1,-8.3,1.7
2018-01-08,177,1.1,-0.8,4.1
2018-01-09,177,-1.5,-3.7,0.2
2018-01-10,177,-6.1,-12.8,-0.4
2018-01-11,177,-8.2,-10.4,-6.3
2018-01-12,177,-10,-16.6,-6.1
2018-01-13,177,-4.5,-9.2,1
2018-01-14,177,-2.7,-12.1,5.1
2018-01-15,177,4.2,-1,8.7
2018-01-16,177,2.2,-2.1,6.4
2018-01-17,177,3.8,1.1,7.8
2018-01-18,177,2.2,-1.6,5.5
2018-01-19,177,-0.4,-4.5,5.1
2018-01-20,177,0.7,-4.6,7.2
2018-01-21,177,-0.4,-6.4,5.3
2018-01-22,177,2.5,-1.6,7.8
2018-01-23,177,-7.8,-10.3,-1.5
2018-01-24,177,-11.4,-14.2,-8.9
2018-01-25,177,-11.2,-15.2,-7.1
2018-01-26,177,-11.4,-14.4,-7.9
2018-01-27,177,-9.2,-16.3,-3
2018-01-28,177,-4.1,-7.6,0.7
2018-01-29,177,-7.4,-13.1,-3.9
2018-01-30,177,-5.5,-13.6,0.7
2018-01-31,177,-1,-4.4,2.1
2018-02-01,177,-4.3,-10.7,1.7
2018-02-02,177,-4,-11.2,3.7
2018-02-03,177,-5,-7.1,-1.1
2018-02-04,177,-6.6,-9,-3.8
2018-02-05,177,-7.4,-12,-3.8
2018-02-06,177,-7.4,-13.8,-4.3
2018-02-07,177,-8.3,-15.6,-0.5
2018-02-08,177,-5.4,-13.1,3
2018-02-09,177,0,-9.3,6.7
2018-02-10,177,-0.2,-4.9,5.9
2018-02-11,177,-4.4,-10.3,0.3
2018-02-12,177,-5.5,-12.3,-1.8
2018-02-13,177,-0.9,-11.2,3.7
2018-02-14,177,4.9,-0.2,9.1
2018-02-15,177,-0.9,-5.5,4.3
2018-02-16,177,-0.8,-7.6,5.9
2018-02-17,177,-1.4,-6.8,1
2018-02-18,177,-0.9,-4.6,3.8
2018-02-19,177,0.3,-5.7,7.6
2018-02-20,177,0.7,-5.7,6.3
2018-02-21,177,-1,-6.4,4.1
2018-02-22,177,1.1,-8.3,6
2018-02-23,177,5.8,1.4,9.4
2018-02-24,177,3.8,-1.9,9.7
2018-02-25,177,1.6,-4.1,9.2
2018-02-26,177,1.2,-7,10.5
2018-02-27,177,3.6,-5,11.4
2018-02-28,177,4,1.2,9.1
2018-03-01,177,1.1,-2.3,5.3
2018-03-02,177,-0.1,-6.3,6.4
2018-03-03,177,7.7,-2.4,16
2018-03-04,177,12.4,8.5,18.5
2018-03-05,177,6.3,3.3,10.7
2018-03-06,177,3.9,-1.4,10.1
2018-03-07,177,5.3,-0.3,11.7
2018-03-08,177,3,-0.4,7.1
2018-03-09,177,3.7,-0.4,8.6
2018-03-10,177,3.7,-2.3,8.7
2018-03-11,177,6,1,12.3
2018-03-12,177,5.8,-2.4,15.5
2018-03-13,177,11.9,2.7,16.4
2018-03-14,177,16.7,10.6,21.7
2018-03-15,177,12.5,8.1,17.1
2018-03-16,177,7,2.2,10.9
2018-03-17,177,5.3,-1.4,13.3
2018-03-18,177,6.2,1.3,10
2018-03-19,177,7.8,6.2,10.1
2018-03-20,177,6.4,3,10.8
2018-03-21,177,1.2,-0.7,3
2018-03-22,177,4.1,-1.1,10.6
2018-03-23,177,4.3,-2.6,12.4
2018-03-24,177,6.6,0.9,13.6
2018-03-25,177,7.8,3,17
2018-03-26,177,9.8,2.7,18.1
2018-03-27,177,12.5,3.5,19.4
2018-03-28,177,14.3,8.2,18.9
2018-03-29,177,14.5,10.3,19.4
2018-03-30,177,12.5,4.8,20
2018-03-31,177,13,5.3,20.2
2018-04-01,177,14.2,7.6,18.7
2018-04-02,177,16.5,9.3,22.8
2018-04-03,177,17.4,12.7,21.9
2018-04-04,177,12.3,10.6,16.3
2018-04-05,177,8.8,8.1,10.6
2018-04-06,177,6.7,3.7,9.2
2018-04-07,177,5.3,3.5,8.8
2018-04-08,177,7.6,0,12.6
2018-04-09,177,9.7,3,16.9
2018-04-10,177,15.2,3.6,21.7
2018-04-11,177,12.8,8.4,17.9
2018-04-12,177,12.2,5.6,19.8
2018-04-13,177,12.3,2.7,18.4
2018-04-14,177,8.4,7.1,13.2
2018-04-15,177,8.5,4.7,14.5
2018-04-16,177,9.6,1.5,17
2018-04-17,177,10.5,4.7,18.9
2018-04-18,177,10.1,2.1,18.8
2018-04-19,177,11.8,1.7,20.4
2018-04-20,177,15.9,5.9,27.3
2018-04-21,177,15.9,6.5,24.2
2018-04-22,177,14.6,9.9,18.4
2018-04-23,177,11.3,10.4,13.5
2018-04-24,177,12.1,9.9,14.8
2018-04-25,177,13.1,5.3,21
2018-04-26,177,13.7,7.3,21.4
2018-04-27,177,14.3,8.4,22
2018-04-28,177,12.8,7.5,19.9
2018-04-29,177,14.3,4.7,22.1
2018-04-30,177,17.9,11.4,24
2018-05-01,177,19.2,16.9,22.9
2018-05-02,177,15,10.4,21.1
2018-05-03,177,12.2,7.7,15.4
2018-05-04,177,14.7,10.8,18.9
2018-05-05,177,18.9,13.4,23.7
2018-05-06,177,15.3,13.6,19
2018-05-07,177,17.7,14,22.9
2018-05-08,177,16.9,12.4,22.4
2018-05-09,177,14.7,9.3,21
2018-05-10,177,14,9,21
2018-05-11,177,15,9.8,21.9
2018-05-12,177,14.9,11.2,17.9
2018-05-13,177,14.7,11.1,18.9
2018-05-14,177,17.6,10.7,25.1
2018-05-15,177,21.7,13.3,28.3
2018-05-16,177,23.5,22.6,25.3
2018-05-17,177,21.8,19,24.4
2018-05-18,177,17.1,13.9,19.9
2018-05-19,177,17.5,12.5,23.5
2018-05-20,177,17,10.9,21.8
2018-05-21,177,16.9,10.3,22
2018-05-22,177,17.2,13.1,22.4
2018-05-23,177,16.7,11.4,22.1
2018-05-24,177,17.1,8.8,23.7
2018-05-25,177,18.5,10,24.9
2018-05-26,177,19.5,11.5,28.5
2018-05-27,177,18.6,14.5,23

